City,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
Imeni Poliny Osipenko,136.49,52.42,32.93,79,100,3.29
Cabinda,12.19,-5.56,78.8,78,75,4.7
Ulladulla,150.48,-35.36,55.69,62,0,8.05
Wajima,136.9,37.4,74.65,74,100,12.01
Mao,-71.08,19.55,82.02,70,75,5.82
Yining,114.56,29.04,66.25,63,0,1.03
Rocha,-54.34,-34.48,51.7,94,100,15.23
Labuhan,115.51,-2.54,70.87,93,64,1.59
Joplin,-94.51,37.08,87.6,62,40,13.87
Newberry,-85.51,46.35,55.65,54,40,11.41
Amahai,129.0,-3.31,76.56,87,67,6.31
Vardo,-77.74,39.62,90.86,40,1,13.87
Shelton,-73.09,41.32,81.01,65,75,10.22
Ternate,120.72,14.29,74.73,88,40,3.36
Kapasan,74.23,24.95,73.57,76,0,4.12
Nyurba,118.35,63.29,24.85,95,94,3.83
Balabac,117.06,7.99,79.48,75,100,4.74
Baker City,-117.83,44.77,54.3,35,1,12.75
Irbit,63.06,57.67,47.87,85,100,10.63
Puerto Penasco,-113.53,31.32,84.0,69,0,5.99
Durant,-96.37,33.99,91.24,43,40,5.82
Carballo,-8.69,43.21,57.85,87,0,3.31
Ahuimanu,-157.84,21.44,82.63,65,75,11.41
Marawi,124.29,8.0,75.0,89,84,8.01
Somerset,-71.13,41.77,68.79,77,90,9.17
Chamalieres,3.06,45.78,54.14,71,90,4.7
Santa Rosa,-64.29,-36.62,64.21,22,33,11.23
Omsukchan,155.8,62.53,9.37,81,0,4.0
